symbol,name,currency,exchange,mic_code,country,type,figi_code
AACG,ATA Creativity Global,USD,NASDAQ,XNMS,United States,Depositary Receipt,BBG000V2S606
AACI,Armada Acquisition Corp. I,USD,NASDAQ,XNMS,United States,Common Stock,BBG013FDYXT6
AACIU,Armada Acquisition Corp. I Unit,USD,NASDAQ,XNMS,United States,Common Stock,BBG011PFP1L2
AACIW,Armada Acquisition Corp. I,USD,NASDAQ,XNMS,United States,Common Stock,BBG011XRPR12
AADI,"Aadi Bioscience, Inc.",USD,NASDAQ,XNCM,United States,Common Stock,BBG00HDDFQ50
AAGR,African Agriculture Holdings Inc.,USD,NASDAQ,XNMS,United States,Common Stock,BBG00ZKWJM82
AAGRW,African Agriculture Holdings Inc.,USD,NASDAQ,XNMS,United States,Common Stock,
AAL,American Airlines Group Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG005P7Q8V5
AAME,Atlantic American Corp,USD,NASDAQ,XNMS,United States,Common Stock,BBG000B9XDQ4
AAOI,Applied Optoelectronics Inc,USD,NASDAQ,XNMS,United States,Common Stock,BBG00564XQN4
AAON,AAON Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG000C2M952
AAPL,Apple Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG000B9Y5X2
AATC,Autoscope Technologies Corporation,USD,NASDAQ,XNCM,United States,Common Stock,
ABAT,American Battery Technology Co.,USD,NASDAQ,XNCM,United States,Common Stock,BBG004M1KK52
ABCL,AbCellera Biologics Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG00Y9DNM85
ABEO,Abeona Therapeutics Inc,USD,NASDAQ,XNCM,United States,Common Stock,BBG000DT5MQ9
ABIO,ARCA biopharma Inc,USD,NASDAQ,XNCM,United States,Common Stock,BBG000BWNWC7
ABL,Abacus Life Inc,USD,NASDAQ,XNCM,United States,Common Stock,BBG00X8RVJQ5
ABLLL,"Abacus Life, Inc.",USD,NASDAQ,XNMS,United States,Exchange-Traded Note,
ABLLW,"Abacus Life, Inc. - Warrant",USD,NASDAQ,XNGS,United States,Warrant,
ABLV,Able View Global Inc. - Class B Ordinary Shares,USD,NASDAQ,XNCM,United States,Common Stock,BBG01DC6S1V6
ABLVW,Able View Global Inc. - Warrant,USD,NASDAQ,XNGS,United States,Warrant,
ABNB,"Airbnb, Inc.",USD,NASDAQ,XNGS,United States,Common Stock,BBG00Y6TX6L2
ABOS,"Acumen Pharmaceuticals, Inc.",USD,NASDAQ,XNGS,United States,Common Stock,BBG011CK4NZ5
ABSI,Absci Corporation,USD,NASDAQ,XNGS,United States,Common Stock,BBG011N54D24
ABTS,Abits Group Inc,USD,NASDAQ,XNCM,United States,Common Stock,BBG01255FJ36
ABUS,Arbutus Biopharma Corp,USD,NASDAQ,XNGS,United States,Common Stock,BBG000RR94D8
ABVC,American BriVision (Holding) Corporation,USD,NASDAQ,XNCM,United States,Common Stock,BBG000Q84BQ6
ABVE,Above Food Ingredients Inc. Common Stock,USD,NASDAQ,XNMS,United States,Common Stock,BBG01NKY0YX0
ABVEW,Above Food Ingredients Inc. Warrants,USD,NASDAQ,XNMS,United States,Common Stock,BBG01NKYQG16
ABVX,Abivax SA,USD,NASDAQ,XNMS,United States,Depositary Receipt,BBG01JLQNZ67
ACAB,Atlantic Coastal Acquisition Corp. II,USD,NASDAQ,XNMS,United States,Common Stock,BBG013X0S7M5
ACABU,Atlantic Coastal Acquisition Corp II,USD,NASDAQ,XNMS,United States,Unit,BBG013X0RRB4
ACABW,Atlantic Coastal Acquisition Corp. II,USD,NASDAQ,XNMS,United States,Common Stock,BBG0142NHT23
ACAC,Acies Acquisition Corp.,USD,NASDAQ,XNCM,United States,Common Stock,BBG0160DYSZ9
ACACU,Acri Capital Acquisition Corp,USD,NASDAQ,XNCM,United States,Unit,BBG0160DYPV9
ACACW,Acri Capital Acquisition Corporation,USD,NASDAQ,XNMS,United States,Common Stock,
ACAD,ACADIA Pharmaceuticals Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG000BHGMW8
ACAHW,Atlantic Coastal Acquisition Corp. - Warrant,USD,NASDAQ,XNGS,United States,Warrant,
ACAXW,Alset Capital Acquisition Corp.,USD,NASDAQ,XNMS,United States,Common Stock,
ACB,Aurora Cannabis Inc,USD,NASDAQ,XNCM,United States,Common Stock,BBG006SCSYT3
ACCD,Accolade Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG00S2L1ZK8
ACDC,ProFrac Holding Corp,USD,NASDAQ,XNGS,United States,Common Stock,BBG013PRYQ28
ACET,"Adicet Bio, Inc.",USD,NASDAQ,XNMS,United States,Common Stock,BBG00JRNTRX1
ACGL,Arch Capital Group Ltd,USD,NASDAQ,XNGS,United States,Common Stock,BBG000HXQ125
ACGLN,Arch Capital Group Ltd.,USD,NASDAQ,XNGS,United States,Common Stock,
ACGLO,Arch Capital Group Ltd,USD,NASDAQ,XNGS,United States,Preferred Stock,
ACHC,Acadia Healthcare Co Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG0027GFCF3
ACHL,Achilles Therapeutics plc,USD,NASDAQ,XNGS,United States,Common Stock,BBG00ZHF9WD6
ACHV,Achieve Life Sciences Inc,USD,NASDAQ,XNCM,United States,Common Stock,BBG000FBB1Y6
ACIC,American Coastal Insurance Corporation,USD,NASDAQ,XNCM,United States,Common Stock,BBG000TKFMX2
ACIU,AC Immune SA,USD,NASDAQ,XNMS,United States,Common Stock,BBG00D0RJ714
ACIW,ACI Worldwide Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG000PMC3K1
ACLS,Axcelis Technologies Inc,USD,NASDAQ,XNGS,United States,Common Stock,BBG000DW4H02
